iter	Passed	Remaining
654	3352	1765
655	3356	1759
656	3360	1754
657	3364	1748
658	3369	1743
659	3373	1737
660	3377	1732
661	3381	1726
662	3385	1721
663	3390	1715
664	3394	1709
665	3397	1703
666	3401	1698
667	3404	1692
668	3408	1686
669	3412	1680
670	3416	1675
671	3420	1669
672	3425	1664
673	3429	1658
674	3432	1652
675	3436	1647
676	3441	1641
677	3445	1636
678	3449	1630
679	3453	1625
680	3457	1619
681	3462	1614
682	3466	1608
683	3470	1603
684	3474	1597
685	3478	1592
686	3482	1586
687	3487	1581
688	3492	1576
689	3496	1570
690	3500	1565
691	3505	1560
692	3509	1554
693	3513	1549
694	3517	1543
695	3521	1538
696	3526	1533
697	3531	1527
698	3535	1522
699	3539	1516
700	3543	1511
701	3547	1505
702	3551	1500
703	3555	1494
704	3559	1489
705	3563	1483
706	3567	1478
707	3571	1473
708	3575	1467
709	3579	1462
710	3583	1456
711	3588	1451
712	3593	1446
713	3597	1440
714	3601	1435
715	3605	1430
716	3609	1424
717	3613	1419
718	3617	1413
719	3622	1408
720	3626	1403
721	3630	1398
722	3635	1392
723	3640	1387
724	3644	1382
725	3649	1377
726	3654	1372
727	3659	1367
728	3664	1362
729	3668	1356
730	3672	1351
731	3677	1346
732	3681	1340
733	3685	1335
734	3689	1330
735	3694	1325
736	3699	1320
737	3703	1314
738	3708	1309
739	3712	1304
740	3717	1299
741	3721	1294
742	3726	1289
743	3731	1283
744	3734	1278
745	3739	1273
746	3743	1268
747	3747	1262
748	3752	1257
749	3756	1252
750	3760	1246
751	3764	1241
752	3768	1236
753	3771	1230
754	3775	1225
755	3779	1219
756	3784	1214
757	3789	1209
758	3793	1204
759	3797	1199
760	3801	1193
761	3805	1188
762	3809	1183
763	3813	1178
764	3817	1172
765	3822	1167
766	3826	1162
767	3830	1157
768	3835	1151
769	3838	1146
770	3843	1141
771	3847	1136
772	3851	1131
773	3855	1125
774	3860	1120
775	3865	1115
776	3869	1110
777	3873	1105
778	3878	1100
779	3882	1094
780	3886	1089
781	3890	1084
782	3895	1079
783	3899	1074
784	3903	1069
785	3908	1064
786	3912	1058
787	3916	1053
788	3921	1048
789	3925	1043
790	3930	1038
791	3934	1033
792	3939	1028
793	3943	1023
794	3947	1017
795	3952	1012
796	3956	1007
797	3960	1002
798	3965	997
799	3969	992
800	3973	987
801	3977	982
802	3981	976
803	3985	971
804	3990	966
805	3994	961
806	3998	956
807	4001	950
808	4005	945
809	4009	940
810	4013	935
811	4017	930
812	4020	924
813	4024	919
814	4029	914
815	4032	909
816	4036	904
817	4041	899
818	4044	893
819	4049	888
820	4053	883
821	4058	878
822	4061	873
823	4065	868
824	4069	863
825	4073	858
826	4077	852
827	4081	847
828	4085	842
829	4089	837
830	4093	832
831	4097	827
832	4102	822
833	4105	817
834	4109	812
835	4113	806
836	4117	801
837	4121	796
838	4124	791
839	4128	786
840	4131	781
841	4135	776
842	4140	771
843	4144	765
844	4148	760
845	4152	755
846	4157	750
847	4161	745
848	4165	740
849	4169	735
850	4173	730
851	4178	725
852	4183	720
853	4187	715
854	4191	710
855	4195	705
856	4199	700
857	4203	695
858	4208	690
859	4212	685
860	4216	680
861	4220	675
862	4224	670
863	4228	665
864	4233	660
865	4237	655
866	4241	650
867	4245	645
868	4249	640
869	4253	635
870	4257	630
871	4261	625
872	4264	620
873	4268	615
874	4273	610
875	4277	605
876	4282	600
877	4287	595
878	4291	590
879	4295	585
880	4299	580
881	4303	575
882	4308	570
883	4312	565
884	4316	560
885	4320	555
886	4323	550
887	4327	545
888	4332	540
889	4336	535
890	4340	530
891	4345	526
892	4349	521
893	4354	516
894	4358	511
895	4362	506
896	4365	501
897	4369	496
898	4374	491
899	4378	486
900	4381	481
901	4385	476
902	4390	471
903	4395	466
904	4399	461
905	4402	456
906	4406	451
907	4410	446
908	4414	441
909	4418	437
910	4423	432
911	4426	427
912	4430	422
913	4435	417
914	4439	412
915	4443	407
916	4448	402
917	4453	397
918	4457	392
919	4461	387
920	4466	383
921	4470	378
922	4474	373
923	4478	368
924	4482	363
925	4486	358
926	4489	353
927	4493	348
928	4497	343
929	4501	338
930	4505	333
931	4510	329
932	4514	324
933	4518	319
934	4522	314
935	4526	309
936	4531	304
937	4535	299
938	4539	294
939	4544	290
940	4548	285
941	4552	280
942	4557	275
943	4561	270
944	4565	265
945	4569	260
946	4573	255
947	4576	251
948	4580	246
949	4584	241
950	4589	236
951	4593	231
952	4597	226
953	4602	221
954	4606	217
955	4610	212
956	4614	207
957	4618	202
958	4622	197
959	4626	192
960	4630	187
961	4634	183
962	4638	178
963	4643	173
964	4647	168
965	4651	163
966	4655	158
967	4659	154
968	4663	149
969	4666	144
970	4670	139
971	4674	134
972	4678	129
973	4682	125
974	4686	120
975	4690	115
976	4695	110
977	4699	105
978	4702	100
979	4706	96
980	4711	91
981	4714	86
982	4718	81
983	4722	76
984	4726	71
985	4729	67
986	4733	62
987	4737	57
988	4741	52
989	4744	47
990	4748	43
991	4751	38
992	4755	33
993	4758	28
994	4762	23
995	4765	19
996	4768	14
997	4771	9
998	4773	4
999	4776	0
96	4
999	4799	0
