appid,developer_id
10,59202
20,59202
30,59202
40,59202
50,21806
60,59202
70,59202
80,59202
130,21806
219,59202
220,59202
240,59202
280,59202
300,59202
320,59202
340,59202
360,59202
380,59202
400,59202
420,59202
440,59202
500,59202
550,59202
570,59202
620,59202
630,59202
660,101572
730,59202
1002,101135
1200,28778
1230,101376
1250,28778
1256,28778
1257,28778
1280,18998
1300,6118
1313,6118
1313,34532
1500,66572
1502,66572
1510,66572
1520,66572
1522,66572
1530,66572
1540,66572
1600,29519
1610,53223
1620,10651
1630,10651
1640,10651
1670,10651
1690,53223
1700,6299
1710,6299
1840,59202
1900,24017
1920,24017
1930,24017
2100,6299
2120,6299
2200,50273
2210,50273
2210,69440
2270,50273
2280,34532
2280,50273
2310,34532
2310,50273
2310,69859
2320,34532
2320,50273
2320,69859
2400,28970
2420,28970
2450,28970
2500,85690
2510,85690
2520,90736
2540,55423
2590,2180
2600,45974
2610,57399
2620,31917
2630,31917
2640,48613
2680,41315
2690,24975
2700,42363
2700,43479
2710,6593
2720,14125
2730,14125
2760,55800
2790,80737
2800,41713
2810,41713
2820,41713
2840,41713
2850,41713
2870,41713
2900,29519
2910,29519
2920,29519
2990,2389
2990,23673
2990,83093
3010,83687
3020,83687
3050,83687
3130,81758
3170,7035
3190,7035
3210,88579
3230,85442
3260,71865
3270,20656
3280,20656
3300,72071
3302,72071
3310,72071
3312,72071
3320,72071
3322,72071
3330,72071
3332,72071
3340,72071
3342,72071
3350,72071
3352,72071
3360,72071
3362,72071
3380,72071
3382,72071
3390,72071
3392,72071
3400,72071
3410,72071
3412,72071
3420,72071
3422,72071
3430,72071
3432,72071
3450,72071
3452,72071
3460,72071
3462,72071
3480,72071
3482,72071
3483,72071
3490,22445
3500,89214
3502,89214
3510,89214
3512,89214
3520,89214
3522,89214
3530,89214
3532,89214
3540,72071
3560,72071
3562,72071
3570,89214
3572,89214
3580,72071
3582,72071
3590,72071
3592,72071
3600,89214
3602,89214
3610,89214
3612,89214
3620,72071
3622,72071
3700,85430
3710,85430
3720,99685
3730,85430
3800,58788
3800,62858
3810,22774
3820,22774
3830,39190
3838,39190
3839,39190
3850,22774
3900,47611
3910,47611
3920,47611
3960,5952
3970,80627
3980,30202
3980,47611
3990,47611
4000,27743
4100,19901
4102,19901
4230,66230
4260,66230
4290,66230
4300,32385
4310,32385
4320,32385
4400,34029
4410,34029
4420,34029
4440,34029
4460,34029
4470,34029
4500,5712
4520,40683
4530,40683
4560,80798
4570,80798
4580,80798
4600,43501
4700,53353
4700,77136
4700,87238
4710,94305
4720,51409
4760,87238
4770,94305
4780,53353
4780,77136
4780,94305
4790,39836
4800,5712
4810,5712
4820,5712
4850,5712
4856,5712
4870,5712
4880,5712
4890,5712
4900,55162
4920,55162
6000,16154
6010,16154
6020,81949
6030,81949
6040,16154
6060,40683
6080,42363
6090,40347
6120,23291
6130,23291
6200,77997
6210,43483
6220,2389
6220,23673
6220,83093
6230,2389
6250,69768
6260,69768
6270,36225
6290,88457
6300,32357
6310,32357
6320,32357
6370,6775
6400,35761
6410,35761
6420,70647
6510,71424
6580,71424
6600,25402
6800,66565
6810,66565
6830,66565
6840,66565
6850,43128
6860,43128
6870,36960
6880,83407
6900,42684
6910,92508
6920,92508
6930,53683
6940,36960
6950,85468
6980,92508
7000,54828
7010,54828
7020,85430
7030,54828
7050,54828
7110,57815
7200,38313
7210,77537
7220,77537
7230,77537
7260,48314
7280,48314
7340,69157
7400,71085
7420,71085
7440,71085
7450,71085
7470,71085
7510,79070
7520,24017
7530,24017
7600,47611
7600,53353
7610,5952
7620,5952
7650,52461
7660,52461
7670,31182
7670,55200
7710,31182
7710,55200
7730,52461
7760,52461
7770,52461
7780,36374
7800,13064
7810,9466
7830,80738
7830,99094
7840,43475
7860,9824
7880,36374
7890,99094
7900,12174
7910,12174
7940,31917
7980,41315
7990,22498
8000,54828
8010,35471
8030,54828
8080,79737
8090,47560
8100,47560
8140,54828
8150,54828
8170,38092
8180,38092
8190,83407
8310,20687
8320,20687
8330,95063
8400,32495
8500,94447
8600,66230
8650,66230
8660,66230
8690,66230
8700,66230
8720,66230
8750,95090
8760,66230
8780,66230
8790,37473
8800,47611
8820,47611
8830,77888
8850,1899
8850,52985
8850,54624
8850,55200
8870,7799
8870,73055
8880,73055
8890,73055
8900,73055
8910,73055
8930,36314
8930,43479
8930,47611
8970,33466
8980,21806
8990,21806
9010,48613
9050,50273
9060,81949
9120,50273
9180,50273
9200,50273
9300,80798
9310,80798
9340,80798
9350,44580
9400,61636
9420,44580
9450,80798
9460,63751
9480,31347
9500,36946
9500,57003
9510,57003
9710,17032
9730,100762
9740,99825
9760,6593
9800,95789
9850,25956
9850,62959
9850,95707
9860,4494
9880,56026
9900,56026
9940,68862
9950,68862
9960,13307
9970,53378
9980,74497
10040,41315
10080,84687
10090,84687
10100,59414
10110,59414
10120,74497
10130,8545
10140,35475
10150,20630
10170,50273
10170,81949
10180,31917
10195,31917
10196,31917
10220,5812
10220,87010
10230,65784
10240,75504
10250,43060
10260,62711
10270,7015
10420,66942
10440,27192
10460,32495
10470,18685
10490,19076
10500,53353
10500,77136
10500,87238
10510,83904
10520,35927
10560,66942
10600,53353
10600,77136
10600,87238
10604,53353
10604,77136
10604,87238
10606,53353
10606,77136
10606,87238
10607,53353
10607,77136
10607,87238
10608,53353
10608,77136
10608,87238
10620,94305
10680,85430
10690,15202
10695,85430
10697,85430
11000,48314
11020,38313
11040,39967
11050,39967
11080,39967
11090,39967
11130,39967
11140,39967
